,tablerownames,ticker,company,constituentStart,constituentEnd,industryCode,industry
510,514,R.US Equity,Ryder System Inc,12/30/1982,6/17/2017,203040,Road & Rail
511,515,RAI.US Equity,Reynolds American Inc.,9/3/2002,7/24/2017,302030,Tobacco
512,516,RCL.US Equity,Royal Caribbean Cruises Ltd,12/4/2014,null,253010,"Hotels, Restaurants & Leisure"
513,517,RDC.US Equity,Rowan Companies plc,1/10/1985,8/17/2014,101010,Energy Equipment & Services
514,518,REGN.US Equity,Regeneron Pharmaceuticals Inc.,4/30/2013,null,352010,Biotechnology
515,519,RF.US Equity,Regions Financial Corp.,8/27/1998,null,401010,Commercial Banks
516,520,RHI.US Equity,Robert Half Int'l Inc,12/4/2000,null,202020,Professional Services
517,521,RHT.US Equity,Red Hat Inc.,7/24/2009,7/8/2019,451030,Software
518,522,RIG.US Equity,Transocean Ltd,12/30/1999,12/17/2008,101010,Energy Equipment & Services
519,523,RIG.US Equity,Transocean Ltd,10/28/2013,7/24/2017,101010,Energy Equipment & Services
520,524,RL.US Equity,Ralph Lauren Corp,2/1/2007,null,252030,"Textiles, Apparel & Luxury Goods"
521,525,ROH.US Equity,Rohm & Hass Co,9/16/1982,3/31/2009,151010,Chemicals
522,526,ROK.US Equity,"Rockwell Automation, Inc",1/1/1970,null,201040,Electrical Equipment
